proof	time_s	status
proof_v16_adjust_u128_applies_exact_delta_or_fails_closed	2	PASS
proof_v16_backing_provider_earnings_withdraw_cannot_exceed_earnings	2	PASS
proof_v16_backing_utilization_fee_is_capped_by_capital_and_conserves_ctot_to_earnings	2	PASS
proof_v16_backing_utilization_fee_never_charges_negative_pnl_account	2	PASS
proof_v16_bankruptcy_hlock_selects_hmax_before_source_backed_value_exit	28	PASS
proof_v16_bankruptcy_residual_capacity_is_nonzero_and_bounded_with_headroom	36	PASS
proof_v16_ceil_div_positive_checked_matches_small_reference	3	PASS
proof_v16_checked_trade_fee_is_ceil_bps_and_never_exceeds_notional	13	PASS
proof_v16_close_progress_ledger_residual_equation_is_enforced	77	PASS
proof_v16_counterparty_credit_consumption_reports_atoms_not_scaled_backing	3	PASS
proof_v16_counterparty_source_credit_support_does_not_debit_vault_or_insurance	4	PASS
proof_v16_counterparty_source_credit_support_is_prebacked_by_realized_capital	5	PASS
proof_v16_cross_account_source_support_sum_capped_by_shared_backing	365	PASS
proof_v16_duplicate_asset_legs_reject_before_double_counting_support	60	PASS
proof_v16_dynamic_market_extension_slots_must_be_zero_fill	7	PASS
proof_v16_dynamic_market_slot_slice_len_matches_runtime_capacity	2	PASS
proof_v16_equity_active_accrual_requires_protective_progress_before_mutation	49	PASS
proof_v16_equity_active_accrual_with_progress_commits_one_bounded_segment	62	PASS
proof_v16_expired_close_progress_declares_recovery_without_value_mutation	68	PASS
proof_v16_expired_counterparty_backing_bucket_accepts_receivable_refill	2	PASS
proof_v16_floor_div_signed_conservative_matches_small_reference	5	PASS
proof_v16_funding_rate_cap_rejects_before_accrual_mutation	48	PASS
proof_v16_insurance_lien_fractional_consume_rejects	2	PASS
proof_v16_insurance_lien_split_consume_spends_exact_reserved_atoms	3	PASS
proof_v16_k_pair_mul_div_floor_matches_small_reference	212	PASS
proof_v16_k_pair_zero_cases_return_zero	2	PASS
proof_v16_liquidation_cannot_leave_uncovered_loss_with_other_open_risk	2	PASS
proof_v16_liquidation_preflight_accepts_only_fully_durable_residual	143	PASS
proof_v16_liquidation_preflight_routes_insufficient_residual_capacity_to_recovery	112	PASS
proof_v16_live_market_shape_rejects_long_short_oi_mismatch	67	PASS
proof_v16_live_positive_kf_delta_without_source_rejects	19	PASS
proof_v16_live_residual_booking_to_loss_bearing_side_is_bounded_and_exact	24	PASS
proof_v16_loss_senior_fee_ordering_consumes_kf_loss_before_fee	65	PASS
